n_id,n_x,n_y,is_left_boundary,is_right_boundary
0,92.8747258267156,21.943921987602614,False,False
1,103.0317503893659,34.86840145296819,False,False
2,11.301281746517944,48.7811175818378,True,False
3,91.33676423884236,39.30321526384769,False,False
4,15.373635921065505,22.519296894778357,False,False
5,44.49576290790975,46.33824944243009,False,False
6,77.26381440967974,41.1380806635415,False,False
7,53.209703859279735,11.361936089238844,False,False
8,66.55017444190018,3.1908628052087664,False,False
9,99.31574063910985,31.583219956103243,False,False
10,90.97052881024486,17.726298406493417,False,False
11,116.4837629273884,44.65605606610988,False,True
12,93.40601964885143,9.731935392598379,False,False
13,56.0065204472441,2.190188289361439,False,False
14,18.51473904810574,34.15244766212273,False,False
15,89.37145870893805,48.3754866217105,False,False
16,39.09904297657823,18.522985301743443,False,False
17,56.34669735309695,9.473567954214285,False,False
18,15.590580640256597,23.78524631129669,False,False
19,27.229121886106093,33.49069973412552,False,False
20,52.458230264679685,41.63390980289187,False,False
21,84.0318122402699,15.618332069102053,False,False
22,99.87117616742412,40.238217874840096,False,False
23,46.49740548362094,14.416405196512205,False,False
24,81.89946047699706,6.98762418046549,False,False
25,23.988984297012998,0.3681134875502756,False,False
26,94.4309253002566,33.242542829601604,False,False
27,84.61984543516022,39.036451551098395,False,False
28,55.06989306460079,28.437059797644686,False,False
29,16.775639775318893,5.726503676798672,False,False
30,80.2083554148566,23.554810307156625,False,False
31,67.82833277774266,38.24994287080128,False,False
32,76.1661984000709,27.67897003289979,False,False
33,67.10485928944962,15.19750490313061,False,False
34,3.6981401481527287,21.835869461618117,True,False
35,25.750160738343503,20.426432186231807,False,False
36,102.40836879217993,11.696974293267036,False,False
37,6.996329002687922,14.069194601099827,True,False
38,35.231250932002034,33.09582573634475,False,False
39,66.8438582809534,39.194910455320674,False,False
40,79.7176248392865,20.319343072003527,False,False
41,97.68244615992415,8.348645995385196,False,False
42,2.7254487760632573,4.502393038782087,True,False
43,86.68312207157403,23.09386151256937,False,False
44,19.352613484032215,25.052238755168176,False,False
45,18.27745232558021,34.8160187538868,False,False
46,53.538753068883686,19.051061304824124,False,False
47,36.181450697745184,31.514129655944423,False,False
48,43.41751326640685,4.38249596580505,False,False
49,14.160708254461838,48.09488322747573,False,False
50,109.02968288491284,34.98535669053748,False,True
51,31.90439537514235,48.45881886738619,False,False
52,93.45010847589535,35.84450945794978,False,False
53,53.92338025725464,13.612078092257951,False,False
54,11.566915458419915,45.13011982719208,True,False
55,54.693154780033325,10.118168239761516,False,False
56,36.7147948980783,28.9609784470948,False,False
57,21.212733952707804,42.83071420461877,False,False
58,91.02234358022521,35.97314779754684,False,False
59,51.85116477301244,31.36544203512216,False,False
60,70.09175626952828,32.492330077741,False,False
61,10.13331853678669,20.79037010853048,True,False
62,4.993700863427097,24.699540962225946,True,False
63,39.58334547993424,7.226209443302345,False,False
64,12.408356126706197,29.3822286088856,False,False
65,20.47115622442633,46.25600591883986,False,False
66,69.7273367640474,17.343490226741853,False,False
67,70.90985897777001,1.140193551484875,False,False
